File_Name,CIK,datadate,announce_date,tic,AbnReturn
790705-0000950123-10-100486.txt,790705,9/30/2010,2010-11-04,TKLC,-1.826795978
814547-0001144204-14-003352.txt,814547,12/31/2013,2014-01-22,FICO,-3.337048723
71829-0001437749-14-019134.txt,71829,9/30/2014,2014-10-30,NR,4.05184059
71691-0001157523-19-000236.txt,71691,12/31/2018,2019-02-06,NYT,16.48096188
320193-0001193125-10-230992.txt,320193,9/30/2010,2010-10-18,AAPL,-1.228230556
1666134-0001171843-18-005691.txt,1666134,6/30/2018,2018-08-02,BL,10.49154678
29332-0000029332-11-000064.txt,29332,6/30/2011,2011-08-04,DXYN,13.40791213
1318605-0001564590-20-033069.txt,1318605,6/30/2020,2020-07-22,TSLA,-9.107826389
731012-0000950123-11-010074.txt,731012,12/31/2010,2011-02-07,HCSG,4.447709319
1282637-0001193125-11-103679.txt,1282637,3/31/2011,2011-04-20,NEU,13.225461
823094-0000823094-14-000025.txt,823094,3/31/2014,2014-05-12,BID,-6.271472623
1492691-0001492691-20-000004.txt,1492691,12/31/2019,2020-01-29,KNX,4.691495231
884144-0001185185-16-005776.txt,884144,9/30/2016,2016-11-14,ASUR,7.06903963
926326-0000926326-16-000075.txt,926326,9/30/2016,2016-10-27,OMCL,-5.168653063
714603-0000714603-15-000009.txt,714603,3/31/2015,2015-04-23,DST,-0.228344443
1501134-0001501134-19-000058.txt,1501134,9/30/2019,2019-11-06,NVTA,3.420947148
51253-0001157523-18-001757.txt,51253,6/30/2018,2018-08-07,IFF,-0.035505702
775158-0001104659-16-153530.txt,775158,9/30/2016,2016-11-01,OSK,4.833165324
69488-0001193125-15-357199.txt,69488,9/30/2015,2015-10-29,MYE,-2.155764608
84748-0001157523-14-004139.txt,84748,9/30/2014,2014-10-28,ROG,16.42978735
1653247-0001564590-20-052525.txt,1653247,9/30/2020,2020-11-09,WTRH,-29.67982918
719866-0001193125-13-301777.txt,719866,6/30/2013,2013-07-25,ACAT,8.04516356
861884-0001171843-17-002349.txt,861884,3/31/2017,2017-04-27,RS,-0.720147286
1424755-0001144204-17-055642.txt,1424755,9/30/2017,2017-11-02,TVPT,-10.09658519
1640428-0001193125-19-049891.txt,1640428,12/31/2018,2019-02-25,EVER,22.95018936
1323531-0001144204-10-025986.txt,1323531,3/31/2010,2010-05-11,MFB,8.49991593
1092699-0001171843-17-006333.txt,1092699,9/30/2017,2017-10-26,SPSC,-16.0988531
319201-0001193125-12-316888.txt,319201,6/30/2012,2012-07-26,KLAC,2.223223266
1370946-0001193125-12-432360.txt,1370946,9/30/2012,2012-10-24,OC,-2.706749322
1474439-0001474439-15-000106.txt,1474439,9/30/2015,2015-10-29,TNAV,-5.681839802
59527-0000059527-18-000029.txt,59527,9/30/2018,2018-10-25,LECO,-0.361165558
1056696-0001193125-14-152640.txt,1056696,3/31/2014,2014-04-22,MANH,-4.987139327
932696-0001193125-12-328953.txt,932696,6/30/2012,2012-08-01,NSIT,9.246771284
814547-0001144204-14-044696.txt,814547,6/30/2014,2014-07-24,FICO,-7.295303652
789460-0001628280-18-005124.txt,789460,3/31/2018,2018-04-26,INT,-23.92249712
1103982-0001193125-19-022578.txt,1103982,12/31/2018,2019-01-30,MDLZ,2.869864942
